Timestep: 0
Index	Mass		X		Y		Z		Vx		Vy		Vz
5	9.8255e+29	7.69414e+10	-8.54628e+10	5.06712e+10	-0.136977	0.000150984	-0.000493441
6	4.36411e+29	-6.66986e+10	-4.50186e+10	-4.45365e+09	0.0950291	-0.000328175	0.000154046
7	8.97656e+29	-3.61934e+10	9.04579e+08	-8.78871e+10	0.107324	-0.000302931	0.000618832
8	4.93977e+29	-2.31716e+10	-8.52502e+10	-8.18534e+10	0.0355923	0.000758326	0.000980956
9	9.13817e+29	5.40409e+10	-8.99832e+10	-7.11084e+09	-0.108363	0.000728935	0.00146544

Timestep: 8
Index	Mass		X		Y		Z		Vx		Vy		Vz
0	1.31538e+29	3.57729e+10	-5.62082e+10	-8.26997e+09	0.104303	0	0
1	9.34693e+29	5.94004e+09	-9.30856e+10	3.88327e+09	-0.0907846	0.000248177	-8.17888e-05
2	7.69819e+27	8.60873e+10	3.73545e+10	-8.66316e+10	-0.280511	-0.000162313	0.000117247
3	5.26929e+29	5.24396e+10	4.02381e+10	3.07838e+10	-0.133113	-0.000317234	-8.01993e-05
4	4.74645e+28	-2.69323e+10	5.12821e+10	-3.43532e+10	0.0299517	-0.000300041	0.00025602
5	9.8255e+29	7.69414e+10	-8.54628e+10	5.06712e+10	-0.154099	0.000169857	-0.000555121
6	4.36411e+29	-6.66986e+10	-4.50186e+10	-4.45365e+09	0.106908	-0.000369197	0.000173302
7	8.97656e+29	-3.61934e+10	9.04579e+08	-8.78871e+10	0.120739	-0.000340797	0.000696186
8	4.93977e+29	-2.31716e+10	-8.52502e+10	-8.18534e+10	0.0400413	0.000853117	0.00110358
9	9.13817e+29	5.40409e+10	-8.99832e+10	-7.11084e+09	-0.121908	0.000820052	0.00164862

Timestep: 9
Index	Mass		X		Y		Z		Vx		Vy		Vz
0	1.31538e+29	3.57729e+10	-5.62082e+10	-8.26997e+09	0.115892	0	0
1	9.34693e+29	5.94004e+09	-9.30856e+10	3.88327e+09	-0.100872	0.000275752	-9.08764e-05
2	7.69819e+27	8.60873e+10	3.73545e+10	-8.66316e+10	-0.311679	-0.000180348	0.000130275
3	5.26929e+29	5.24396e+10	4.02381e+10	3.07838e+10	-0.147903	-0.000352482	-8.91103e-05
4	4.74645e+28	-2.69323e+10	5.12821e+10	-3.43532e+10	0.0332797	-0.000333379	0.000284467
5	9.8255e+29	7.69414e+10	-8.54628e+10	5.06712e+10	-0.171222	0.00018873	-0.000616801
6	4.36411e+29	-6.66986e+10	-4.50186e+10	-4.45365e+09	0.118786	-0.000410218	0.000192558
7	8.97656e+29	-3.61934e+10	9.04579e+08	-8.78871e+10	0.134155	-0.000378664	0.00077354
8	4.93977e+29	-2.31716e+10	-8.52502e+10	-8.18534e+10	0.0444904	0.000947908	0.0012262
9	9.13817e+29	5.40409e+10	-8.99832e+10	-7.11084e+09	-0.135453	0.000911169	0.0018318

